Frame, Build Acceleratoin Structures_CPU, Build Acceleration Structures_CPU, Build Acceleratoin Structures_CPU, Build Acceleration Structures_CPU, Update State_CPU, Scene Update_CPU, Scene Render_CPU, Particle Update_CPU, Disaptch Surfel Fill Acceleration Structures_CPU, Surfel Fill Acceleration Structures : SURFEL COUNT_CPU, Surfel Copy Grid To Input Buffer_CPU, Surfel Fill Acceleration Structures : SURFEL PREFIX SUM : REDUCE_CPU, Surfel Fill Acceleration Structures : SURFEL PREFIX SUM : SCAN_CPU, Surfel Fill Acceleration Structures : SURFEL PREFIX SUM : PROPAGATE INCLUSIVE_CPU, Surfel Fill Acceleration Structures : SURFEL INSERTION_CPU, RenderLightShadows_CPU, Z PrePass_CPU, Opaque_CPU, Cutout_CPU, Generate SSAO_CPU, Decompress and downsample_CPU, Analyze depth volumes_CPU, Blur and upsample_CPU, FillLightGrid_CPU, Main Render_CPU, Render Shadow Map_CPU, Render Color_CPU, Surfel Density Debug Overlay_CPU, Downsampling Depth_CPU, Render HBIL Tri_CPU, Render HBIL_CPU, Surfel Application Compute Shader_CPU, Apply Diffuse Lighting_CPU, Generate Camera Velocity_CPU, Post Effects_CPU, SDR Processing_CPU, Generate Bloom_CPU, Render UI_CPU, UI Block_CPU, Present_CPU, Build Acceleratoin Structures_GPU, Build Acceleration Structures_GPU, Build Acceleratoin Structures_GPU, Build Acceleration Structures_GPU, Update State_GPU, Scene Update_GPU, Scene Render_GPU, Particle Update_GPU, Disaptch Surfel Fill Acceleration Structures_GPU, Surfel Fill Acceleration Structures : SURFEL COUNT_GPU, Surfel Copy Grid To Input Buffer_GPU, Surfel Fill Acceleration Structures : SURFEL PREFIX SUM : REDUCE_GPU, Surfel Fill Acceleration Structures : SURFEL PREFIX SUM : SCAN_GPU, Surfel Fill Acceleration Structures : SURFEL PREFIX SUM : PROPAGATE INCLUSIVE_GPU, Surfel Fill Acceleration Structures : SURFEL INSERTION_GPU, RenderLightShadows_GPU, Z PrePass_GPU, Opaque_GPU, Cutout_GPU, Generate SSAO_GPU, Decompress and downsample_GPU, Analyze depth volumes_GPU, Blur and upsample_GPU, FillLightGrid_GPU, Main Render_GPU, Render Shadow Map_GPU, Render Color_GPU, Surfel Density Debug Overlay_GPU, Downsampling Depth_GPU, Render HBIL Tri_GPU, Render HBIL_GPU, Surfel Application Compute Shader_GPU, Apply Diffuse Lighting_GPU, Generate Camera Velocity_GPU, Post Effects_GPU, SDR Processing_GPU, Generate Bloom_GPU, Render UI_GPU, UI Block_GPU, Present_GPU, 
5, 0, 0, 0, 0, 2838.35, 0.1812, 2.9366, 0.297, 1.8619, 0.1475, 0.1504, 0.2373, 0.1097, 0.1051, 0.0838, 0.1007, 0.4048, 0.1892, 0.124, 0.5138, 0.1284, 0.1563, 0.1311, 0.121, 0.1234, 0.2713, 0.2545, 0.1036, 0.0988, 0.2025, 0.0888, 0.1096, 0.0979, 0.1114, 0.3748, 0.2572, 0.1673, 9.861, 9.7537, 0.2047, 0, 0, 0, 0, 0, 3.2e-05, 9.59117, 0.073792, 0, 0, 0, 0, 0, 0, 0, 0, 0.10672, 0.100928, 0.005792, 0.340416, 0.097536, 0.102784, 0.131136, 0.079456, 0.00416, 0.147136, 0.358272, 0, 1.19754, 6.87203, 0.0016, 0.150496, 0.079296, 0.0688, 0.164448, 0.161472, 0.095136, 0.01888, 0.01888, 0.03936, 
5, 0, 0, 0, 0, 0.3733, 0.1032, 2.597, 0.2407, 0, 0, 0, 0, 0, 0, 0, 0.0968, 0.3656, 0.1689, 0.1117, 0.4432, 0.1198, 0.1284, 0.1039, 0.0896, 0.0998, 0.2029, 0.1767, 0, 0.1154, 0.2358, 0.112, 0.1093, 0.1118, 0.0986, 0.4057, 0.2853, 0.1777, 9.7817, 9.657, 0.1865, 0, 0, 0, 0, 0, 3.2e-05, 9.93248, 0.0736, 0, 0, 0, 0, 0, 0, 0, 0, 0.108768, 0.102976, 0.00576, 0.340768, 0.099264, 0.101856, 0.130656, 0.08, 0.004224, 0.147936, 0.356192, 0, 1.63155, 6.76925, 0.0016, 0.153696, 0.080448, 0.070816, 0.16192, 0.158944, 0.092416, 0.017568, 0.017536, 0.042048, 
5, 0, 0, 0, 0, 0.3408, 0.0934, 3.0878, 0.2163, 0, 0, 0, 0, 0, 0, 0, 0.092, 0.5491, 0.3104, 0.1326, 0.6501, 0.1257, 0.1194, 0.3031, 0.1058, 0.1133, 0.3735, 0.1914, 0, 0.0976, 0.2134, 0.0998, 0.0964, 0.0916, 0.0954, 0.3886, 0.2678, 0.1721, 1.886, 1.7683, 0.192, 0, 0, 0, 0, 0, 0, 9.37776, 0.077248, 0, 0, 0, 0, 0, 0, 0, 3.2e-05, 0.108064, 0.102208, 0.005792, 0.341312, 0.09888, 0.102496, 0.131136, 0.079968, 0.003328, 0.149408, 0.35616, 0, 1.6352, 6.21245, 0.001824, 0.149664, 0.07808, 0.069184, 0.162816, 0.159808, 0.092864, 0.017856, 0.017856, 0.04224, 
10, 0, 0, 0, 0, 0.3632, 0.1012, 2.6883, 0.2093, 0, 0, 0, 0, 0, 0, 0, 0.1028, 0.3816, 0.1723, 0.1164, 0.4418, 0.1189, 0.1152, 0.1119, 0.0963, 0.093, 0.1934, 0.1886, 0, 0.0985, 0.2147, 0.1, 0.198, 0.1178, 0.1015, 0.4105, 0.2895, 0.184, 1.9861, 1.8364, 0.1949, 0, 0, 0, 0, 0, 0, 9.80781, 0.071456, 0, 0, 0, 0, 0, 0, 0, 0, 0.106112, 0.100192, 0.005856, 0.341504, 0.097792, 0.101952, 0.13312, 0.07984, 0.003296, 0.149728, 0.355968, 0, 1.19558, 7.07446, 0.001568, 0.1552, 0.082688, 0.070528, 0.170144, 0.165088, 0.09568, 0.017952, 0.01792, 0.039904, 
10, 0, 0, 0, 0, 8149.24, 0.138, 2.7451, 0.2551, 0, 0, 0, 0, 0, 0, 0, 0.1378, 0.4146, 0.1894, 0.1257, 0.5075, 0.1317, 0.1095, 0.1782, 0.1056, 0.091, 0.3141, 0.1628, 0, 0.0844, 0.1799, 0.0809, 0.0887, 0.0875, 0.1094, 0.3698, 0.2569, 0.164, 10.1182, 9.9939, 0.166, 0, 0, 0, 0, 0, 0, 9.94301, 0.07824, 0, 0, 0, 0, 0, 0, 0, 0, 0.108512, 0.102592, 0.005856, 0.34032, 0.0984, 0.101888, 0.130976, 0.079712, 0.003328, 0.148576, 0.356352, 0, 1.19578, 7.21888, 0.000544, 0.151456, 0.078688, 0.069472, 0.163328, 0.16032, 0.093888, 0.01696, 0.01696, 0.039264, 
10, 0, 0, 0, 0, 0.3004, 0.0882, 2.2365, 0.1806, 0, 0, 0, 0, 0, 0, 0, 0.0849, 0.356, 0.1536, 0.1008, 0.3816, 0.105, 0.1034, 0.092, 0.0793, 0.0819, 0.157, 0.1398, 0, 0.0803, 0.1781, 0.0829, 0.0932, 0.0874, 0.1786, 0.3551, 0.2336, 0.1447, 2.5621, 2.465, 0.1459, 0, 0, 0, 0, 0, 3.2e-05, 9.94624, 0.073312, 0, 0, 0, 0, 0, 0, 0, 0, 0.108256, 0.1024, 0.005792, 0.340416, 0.098752, 0.101568, 0.131456, 0.08016, 0.004384, 0.147904, 0.356384, 0, 1.69603, 6.72374, 0.003264, 0.152544, 0.078368, 0.069696, 0.162464, 0.159424, 0.092736, 0.017536, 0.017472, 0.042016, 
10, 0, 0, 0, 0, 0.2743, 0.0878, 2.1516, 0.1922, 0, 0, 0, 0, 0, 0, 0, 0.0849, 0.3402, 0.1567, 0.102, 0.3703, 0.0991, 0.102, 0.0916, 0.0824, 0.0838, 0.1681, 0.1471, 0, 0.0842, 0.1854, 0.0895, 0.096, 0.0879, 0.0838, 0.3067, 0.212, 0.1308, 1.8653, 1.7697, 0.1567, 0, 0, 0, 0, 0, 0, 10.7322, 0.071264, 0, 0, 0, 0, 0, 0, 0, 3.2e-05, 0.11792, 0.112224, 0.005664, 0.788064, 0.098624, 0.548, 0.132704, 0.079936, 0.003488, 0.150944, 0.356192, 0, 1.76294, 6.96922, 0.001568, 0.15424, 0.083776, 0.070592, 0.181024, 0.17808, 0.096192, 0.017952, 0.017952, 0.041184, 
10, 0, 0, 0, 0, 0.3564, 0.0981, 2.4858, 0.256, 0, 0, 0, 0, 0, 0, 0, 0.0925, 0.3395, 0.155, 0.1032, 0.4312, 0.1112, 0.1132, 0.1062, 0.0827, 0.1195, 0.2316, 0.1616, 0, 0.0952, 0.194, 0.0895, 0.0939, 0.093, 0.0791, 0.4117, 0.2188, 0.1374, 2.7073, 2.6127, 0.1514, 0, 0, 0, 0, 0, 3.2e-05, 9.96077, 0.085408, 0, 0, 0, 0, 0, 0, 0, 3.2e-05, 0.105696, 0.09968, 0.006016, 0.344128, 0.099744, 0.103808, 0.131008, 0.079488, 0.004064, 0.148576, 0.357376, 0, 1.20448, 7.20966, 0.0016, 0.149472, 0.079264, 0.0696, 0.163584, 0.160544, 0.093024, 0.018144, 0.01808, 0.039392, 
15, 0, 0, 0, 0, 0.3112, 0.0883, 2.2527, 0.2219, 0, 0, 0, 0, 0, 0, 0, 0.11, 0.3315, 0.1478, 0.103, 0.4092, 0.1028, 0.1206, 0.1043, 0.0857, 0.0931, 0.1688, 0.1419, 0, 0.0829, 0.1783, 0.0825, 0.0933, 0.0891, 0.079, 0.3405, 0.2316, 0.1475, 2.331, 2.2369, 0.154, 0, 0, 0, 0, 0, 3.2e-05, 9.89059, 0.085088, 0, 0, 0, 0, 0, 0, 0, 0, 0.106944, 0.101248, 0.005664, 0.778592, 0.096768, 0.103104, 0.569664, 0.079808, 0.003488, 0.147424, 0.352832, 0, 1.19366, 6.73421, 0.000576, 0.147776, 0.077888, 0.068288, 0.167008, 0.164064, 0.095936, 0.01696, 0.016928, 0.03936, 
15, 0, 0, 0, 0, 473.305, 0.1503, 2.6167, 0.2688, 0, 0, 0, 0, 0, 0, 0, 0.1055, 0.4073, 0.2104, 0.1097, 0.3922, 0.107, 0.1073, 0.0986, 0.1172, 0.1362, 0.1866, 0.1876, 0, 0.0915, 0.2161, 0.0876, 0.1026, 0.0945, 0.0897, 0.4829, 0.3254, 0.1763, 1.8006, 1.6896, 0.1738, 0, 0, 0, 0, 0, 0, 10.7951, 0.0856, 0, 0, 0, 0, 0, 0, 0, 0, 0.105088, 0.099488, 0.005568, 0.340672, 0.097728, 0.102816, 0.131104, 0.077952, 0.003328, 0.148384, 0.351872, 0, 2.54803, 6.72858, 0.003392, 0.147264, 0.077472, 0.068448, 0.160736, 0.157728, 0.09136, 0.015488, 0.015488, 0.041568, 
